idx,time,x,y,z,angle1,angle2,angle3,target_x,target_y,target_z,target_angle1,target_angle2,target_angle3
0,14:26:01,201.7,-50.8,263.0,0.68,0.61,-0.34,200,-50,265,0,0,0
0,14:26:02,201.7,-50.8,263.0,0.68,0.61,-0.26,200,-50,265,0,0,0
0,14:26:02,201.7,-50.8,263.0,0.68,0.61,-0.26,200,-50,265,0,0,0
0,14:26:03,201.7,-50.7,263.1,0.63,0.53,-0.26,200,-50,265,0,0,0
0,14:26:03,201.7,-50.7,263.1,0.63,0.53,-0.17,200,-50,265,0,0,0
0,14:26:04,200.8,-50.1,265.2,0.27,-0.13,-0.17,200,-50,265,0,0,0
0,14:26:05,197.7,-48.3,269.9,-0.6,-1.48,-0.16,200,-50,265,0,0,0
0,14:26:05,197.7,-48.2,270.0,-0.65,-1.55,-0.16,200,-50,265,0,0,0
0,14:26:06,197.7,-48.2,270.0,-0.65,-1.55,-0.07,200,-50,265,0,0,0
0,14:26:06,197.7,-48.2,270.0,-0.65,-1.55,-0.07,200,-50,265,0,0,0
0,14:26:07,197.7,-48.2,270.0,-0.65,-1.55,-0.07,200,-50,265,0,0,0
0,14:26:07,197.7,-48.2,270.0,-0.65,-1.55,-0.07,200,-50,265,0,0,0
0,14:26:08,197.7,-48.2,270.0,-0.65,-1.55,-0.07,200,-50,265,0,0,0
0,14:26:09,197.7,-48.2,270.0,-0.65,-1.55,-0.07,200,-50,265,0,0,0
0,14:26:09,197.7,-48.2,270.0,-0.65,-1.55,-0.07,200,-50,265,0,0,0
0,14:26:10,198.2,-48.6,266.7,-0.05,-0.58,-0.08,200,-50,265,0,0,0
0,14:26:10,198.2,-48.6,266.7,-0.05,-0.58,-0.08,200,-50,265,0,0,0
0,14:26:11,198.2,-48.6,266.7,-0.05,-0.58,-0.08,200,-50,265,0,0,0
0,14:26:11,198.3,-48.7,266.4,0.0,-0.51,-0.08,200,-50,265,0,0,0
0,14:26:12,198.7,-49.0,265.2,0.22,-0.06,-0.08,200,-50,265,0,0,0
0,14:26:13,199.7,-49.5,264.0,0.36,0.08,-0.08,200,-50,265,0,0,0
0,14:26:13,199.7,-49.5,264.0,0.36,0.08,-0.08,200,-50,265,0,0,0
0,14:26:14,199.7,-49.5,264.0,0.36,0.08,-0.08,200,-50,265,0,0,0
0,14:26:14,199.7,-49.5,264.0,0.36,0.08,-0.08,200,-50,265,0,0,0
0,14:26:15,199.7,-49.5,264.0,0.36,0.08,-0.08,200,-50,265,0,0,0
0,14:26:15,199.7,-49.5,264.0,0.36,0.08,-0.08,200,-50,265,0,0,0
0,14:26:16,199.7,-49.5,264.0,0.36,0.08,-0.08,200,-50,265,0,0,0
0,14:26:17,199.7,-49.5,264.0,0.36,0.08,-0.08,200,-50,265,0,0,0
0,14:26:17,199.7,-49.5,264.0,0.36,0.08,-0.08,200,-50,265,0,0,0
0,14:26:18,199.7,-49.5,264.0,0.36,0.08,-0.08,200,-50,265,0,0,0
0,14:26:18,199.7,-49.5,264.0,0.36,0.08,-0.08,200,-50,265,0,0,0
0,14:26:19,199.5,-49.4,265.1,0.13,-0.28,-0.08,200,-50,265,0,0,0
0,14:26:19,199.5,-49.4,265.1,0.13,-0.28,-0.08,200,-50,265,0,0,0
0,14:26:20,199.5,-49.4,265.1,0.13,-0.28,-0.08,200,-50,265,0,0,0
0,14:26:21,199.5,-49.4,265.1,0.13,-0.28,-0.08,200,-50,265,0,0,0
