时间,设备名称,磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),磁场矢量和(ʯt),角度Z(°)
 16:59:14.965,COM10_9600_00,58.045,57.577,57.616,100.02,44.7
 16:59:15.068,COM10_9600_00,58.045,57.577,57.616,100.02,44.7
 16:59:15.170,COM10_9600_00,58.045,57.577,57.642,100.03,44.7
 16:59:15.272,COM10_9600_00,58.032,57.577,57.629,100.02,44.7
 16:59:15.375,COM10_9600_00,58.045,57.577,57.629,100.03,44.7
 16:59:15.477,COM10_9600_00,58.045,57.577,57.629,100.03,44.7
 16:59:15.579,COM10_9600_00,58.045,57.577,57.629,100.03,44.7
 16:59:15.681,COM10_9600_00,58.045,57.577,57.603,100.01,44.7
 16:59:15.782,COM10_9600_00,58.045,57.577,57.603,100.01,44.7
 16:59:15.886,COM10_9600_00,58.032,57.577,57.603,100,44.7
 16:59:15.988,COM10_9600_00,58.032,57.577,57.603,100,44.7
 16:59:16.090,COM10_9600_00,58.032,57.577,57.603,100,44.7
 16:59:16.193,COM10_9600_00,58.045,57.577,57.603,100.01,44.7
 16:59:16.295,COM10_9600_00,58.045,57.577,57.59,100,44.7
 16:59:16.397,COM10_9600_00,58.032,57.577,57.59,100,44.7
 16:59:16.500,COM10_9600_00,58.019,57.577,57.59,99.99,44.7
 16:59:16.602,COM10_9600_00,58.032,57.577,57.59,100,44.7
 16:59:16.704,COM10_9600_00,58.032,57.577,57.59,100,44.7
 16:59:16.806,COM10_9600_00,58.032,57.577,57.59,100,44.7
 16:59:16.908,COM10_9600_00,58.032,57.577,57.59,100,44.7
 16:59:17.010,COM10_9600_00,58.032,57.577,57.59,100,44.7
 16:59:17.112,COM10_9600_00,58.058,57.577,57.59,100.01,44.7
 16:59:17.214,COM10_9600_00,58.045,57.59,57.59,100.01,44.7
 16:59:17.316,COM10_9600_00,58.045,57.59,57.603,100.02,44.7
 16:59:17.417,COM10_9600_00,58.032,57.59,57.616,100.02,44.7
 16:59:17.518,COM10_9600_00,58.032,57.59,57.616,100.02,44.7
 16:59:17.620,COM10_9600_00,58.032,57.59,57.603,100.01,44.7
 16:59:17.722,COM10_9600_00,58.032,57.59,57.603,100.01,44.7
 16:59:17.824,COM10_9600_00,58.032,57.59,57.603,100.01,44.7
 16:59:17.926,COM10_9600_00,58.032,57.577,57.603,100,44.7
 16:59:18.028,COM10_9600_00,58.032,57.577,57.603,100,44.7
 16:59:18.129,COM10_9600_00,58.045,57.577,57.603,100.01,44.7
 16:59:18.232,COM10_9600_00,58.045,57.577,57.603,100.01,44.7
 16:59:18.334,COM10_9600_00,58.045,57.577,57.603,100.01,44.7
 16:59:18.438,COM10_9600_00,58.045,57.577,57.603,100.01,44.7
 16:59:18.541,COM10_9600_00,58.058,57.577,57.603,100.02,44.7
 16:59:18.643,COM10_9600_00,58.045,57.577,57.603,100.01,44.7
 16:59:18.745,COM10_9600_00,58.032,57.577,57.603,100,44.7
 16:59:18.847,COM10_9600_00,58.032,57.564,57.603,100,44.7
 16:59:18.949,COM10_9600_00,58.045,57.564,57.603,100,44.7
 16:59:19.052,COM10_9600_00,58.045,57.564,57.603,100,44.7
 16:59:19.154,COM10_9600_00,58.032,57.564,57.603,100,44.7
 16:59:19.256,COM10_9600_00,58.032,57.577,57.603,100,44.7
 16:59:19.358,COM10_9600_00,58.032,57.577,57.59,100,44.7
 16:59:19.460,COM10_9600_00,58.019,57.577,57.59,99.99,44.7
 16:59:19.562,COM10_9600_00,58.058,57.577,57.59,100.01,44.7
 16:59:19.664,COM10_9600_00,58.045,57.577,57.59,100,44.7
 16:59:19.766,COM10_9600_00,58.045,57.577,57.59,100,44.7
 16:59:19.868,COM10_9600_00,58.045,57.577,57.616,100.02,44.7
 16:59:19.971,COM10_9600_00,58.045,57.577,57.616,100.02,44.7
 16:59:20.074,COM10_9600_00,58.045,57.577,57.616,100.02,44.7
 16:59:20.179,COM10_9600_00,58.071,57.577,57.616,100.03,44.7
 16:59:20.282,COM10_9600_00,58.071,57.577,57.616,100.03,44.7
 16:59:20.384,COM10_9600_00,58.071,57.577,57.616,100.03,44.7
 16:59:20.488,COM10_9600_00,58.071,57.577,57.616,100.03,44.7
 16:59:20.590,COM10_9600_00,58.071,57.577,57.616,100.03,44.7
 16:59:20.693,COM10_9600_00,58.071,57.59,57.616,100.04,44.7
 16:59:20.794,COM10_9600_00,58.071,57.59,57.616,100.04,44.7
 16:59:20.898,COM10_9600_00,58.058,57.59,57.616,100.03,44.7
 16:59:21.000,COM10_9600_00,58.045,57.59,57.616,100.03,44.7
 16:59:21.102,COM10_9600_00,58.058,57.59,57.616,100.03,44.7
 16:59:21.205,COM10_9600_00,58.058,57.59,57.616,100.03,44.7
 16:59:21.307,COM10_9600_00,58.058,57.59,57.616,100.03,44.7
 16:59:21.410,COM10_9600_00,58.058,57.59,57.616,100.03,44.7
 16:59:21.513,COM10_9600_00,58.058,57.59,57.616,100.03,44.7
 16:59:21.615,COM10_9600_00,58.032,57.59,57.616,100.02,44.7
 16:59:21.717,COM10_9600_00,58.045,57.59,57.629,100.03,44.7
 16:59:21.820,COM10_9600_00,58.045,57.603,57.629,100.04,44.7
 16:59:21.922,COM10_9600_00,58.058,57.603,57.629,100.05,44.7
 16:59:22.023,COM10_9600_00,58.045,57.603,57.616,100.03,44.7
 16:59:22.125,COM10_9600_00,58.045,57.603,57.616,100.03,44.7
 16:59:22.230,COM10_9600_00,58.045,57.603,57.629,100.04,44.7
