7.663386979658538649e-03,6.938893903907228378e-18,6.368673331236262419e-03,7.483314773547882458e-03
7.120393247567159516e-03,6.938893903907228378e-18,6.467418341193029510e-03,7.141428428542850523e-03
6.467418341193029510e-03,6.938893903907228378e-18,6.499999999999998834e-03,6.633249580710798808e-03
5.666568626602874921e-03,6.938893903907228378e-18,6.467418341193028643e-03,5.916079783099615838e-03
5.666568626602874921e-03,6.938893903907228378e-18,6.368673331236262419e-03,5.894913061275797693e-03
4.641928478552851886e-03,6.938893903907228378e-18,6.200604809210145257e-03,4.769696007084725520e-03
4.641928478552851886e-03,6.938893903907228378e-18,1.133313725320575158e-02,8.717797887081345232e-03
4.641928478552851886e-03,6.938893903907228378e-18,1.451990013739764239e-02,1.116915395184433710e-02
4.641928478552851886e-03,6.938893903907228378e-18,1.690000000000000183e-02,1.299999999999999767e-02
5.199999999999999761e-03,6.938893903907228378e-18,1.878263825983985877e-02,1.444818327679988842e-02
5.629165124598851412e-03,6.938893903907228378e-18,2.030664915735730380e-02,1.562049935181330541e-02
5.957348403442591298e-03,6.938893903907228378e-18,2.075933524947270667e-02,1.596871942267131042e-02
5.957348403442591298e-03,2.833284313301437461e-03,2.066754702426003981e-02,1.562049935181330541e-02
5.957348403442591298e-03,3.899999999999999387e-03,2.038970328376555827e-02,1.519868415357066189e-02
5.629165124598850545e-03,4.641928478552851019e-03,1.991801947985792978e-02,1.469693845669906539e-02
5.629165124598850545e-03,4.641928478552851019e-03,1.923824316303336668e-02,1.430908802125418523e-02
5.629165124598850545e-03,4.641928478552851019e-03,1.832723383383318833e-02,1.374772708486751878e-02
5.629165124598851412e-03,4.641928478552851886e-03,1.714817774575479875e-02,1.299038105676657978e-02
5.957348403442591298e-03,4.641928478552851019e-03,1.564057224017075670e-02,1.200000000000000198e-02
6.200604809210146992e-03,4.641928478552851019e-03,1.497823420834378493e-02,1.161895003862225238e-02
6.368673331236263287e-03,4.641928478552851886e-03,1.416642156650719034e-02,1.113552872566004291e-02
6.467418341193028643e-03,4.641928478552851886e-03,1.317753770626364090e-02,1.053565375285273747e-02
7.580237463298889790e-03,4.641928478552851019e-03,1.196776921568928204e-02,9.937303457175895860e-03
8.499852939904312815e-03,4.641928478552851019e-03,1.046076001063020455e-02,9.273618495495704328e-03
9.283856957105703772e-03,7.663386979658536914e-03,8.499852939904314550e-03,8.306623862918076362e-03
9.964311315891330456e-03,8.221921916437786859e-03,5.629165124598851412e-03,7.071067811865477080e-03
1.056124992602675006e-02,8.696407304168773250e-03,8.118497397917917927e-03,7.921489758877431689e-03
1.108816937100078753e-02,9.100000000000000450e-03,9.619121581516681604e-03,8.426149773176360575e-03
1.155465274251026714e-02,9.441795380117067385e-03,1.056124992602675006e-02,8.645808232895292947e-03
1.162755348299890877e-02,9.728309205612248670e-03,1.108816937100078927e-02,8.602325267042628537e-03
1.123955070276388100e-02,9.964311315891330456e-03,1.125833024919770282e-02,7.810249675906657044e-03
1.079861102179349719e-02,1.015332457867865017e-02,1.191469680688518606e-02,7.664854858377948173e-03
1.079861102179349719e-02,1.015332457867865190e-02,1.240120961842029398e-02,9.096702699330126707e-03
1.079861102179349719e-02,1.015332457867865190e-02,1.380389437803694781e-02,1.140175425099138225e-02
1.079861102179349719e-02,1.015332457867865190e-02,1.482228052628879397e-02,1.314343942809491697e-02
1.079861102179349719e-02,1.077903056865504861e-02,1.553214408895307701e-02,1.423903086589814460e-02
1.029793668654065825e-02,1.133313725320575158e-02,1.597466744567786062e-02,1.499166435056495210e-02
1.029793668654065825e-02,1.182571350912916402e-02,1.617181189601214764e-02,1.486606874731850707e-02
9.728309205612246935e-03,1.182571350912916402e-02,1.613257573978811588e-02,1.458595214581482127e-02
9.076756028449812011e-03,1.226417547167358429e-02,1.585520419294560515e-02,1.465435088975284607e-02
8.324061508662704625e-03,1.265414951705566039e-02,1.532677395931707383e-02,1.444818327679989016e-02
8.324061508662704625e-03,1.265414951705566039e-02,1.451990013739763892e-02,1.356465996625053592e-02
8.817028978062848785e-03,1.265414951705566039e-02,1.338431918328310093e-02,1.322875655532295205e-02
8.499852939904314550e-03,1.265414951705566039e-02,1.182571350912916402e-02,1.280624847486569809e-02
8.118497397917917927e-03,1.123955070276387753e-02,9.641058033224361723e-03,1.134680571791021539e-02
7.663386979658538649e-03,1.079861102179349719e-02,6.200604809210145257e-03,9.433981132056602770e-03
7.663386979658538649e-03,1.029793668654065825e-02,5.957348403442590430e-03,9.205976319760984447e-03
7.439590042468737126e-03,9.728309205612245200e-03,5.629165124598850545e-03,8.944271909999159526e-03
6.970473441596345028e-03,9.283856957105705507e-03,5.199999999999998894e-03,8.645808232895292947e-03
5.957348403442591298e-03,8.623224454924039925e-03,4.641928478552851019e-03,8.529361054615991478e-03
5.957348403442591298e-03,7.690903718029501977e-03,3.899999999999998954e-03,7.141428428542852258e-03
5.957348403442591298e-03,6.368673331236261552e-03,3.899999999999999387e-03,4.898979485566360044e-03
6.200604809210147859e-03,6.368673331236261552e-03,3.899999999999999387e-03,5.722761571129802126e-03
6.368673331236263287e-03,6.467418341193028643e-03,4.641928478552851019e-03,6.224949798994368518e-03
6.368673331236263287e-03,6.467418341193028643e-03,5.199999999999998894e-03,6.000000000000002727e-03
6.368673331236263287e-03,6.467418341193028643e-03,5.629165124598850545e-03,5.722761571129800391e-03
6.368673331236263287e-03,6.467418341193028643e-03,5.957348403442591298e-03,5.385164807134505509e-03
6.200604809210147859e-03,6.499999999999998834e-03,6.200604809210145257e-03,5.894913061275799428e-03
6.200604809210147859e-03,6.499999999999998834e-03,6.368673331236262419e-03,6.324555320336759656e-03
7.238093671679027633e-03,6.467418341193027775e-03,6.467418341193028643e-03,5.894913061275799428e-03
7.238093671679027633e-03,6.368673331236261552e-03,6.499999999999998834e-03,5.722761571129798656e-03
6.970473441596345895e-03,6.467418341193027775e-03,6.467418341193029510e-03,5.722761571129797789e-03
6.628725367670619886e-03,6.499999999999998834e-03,6.368673331236262419e-03,5.722761571129797789e-03
6.628725367670619886e-03,6.467418341193028643e-03,6.200604809210145257e-03,5.722761571129797789e-03
6.628725367670619886e-03,6.368673331236261552e-03,6.970473441596345028e-03,6.000000000000000125e-03
6.970473441596345028e-03,6.200604809210145257e-03,7.439590042468737993e-03,7.141428428542848789e-03
6.628725367670619886e-03,6.200604809210145257e-03,7.663386979658537781e-03,7.999999999999998432e-03
6.200604809210146992e-03,6.200604809210145257e-03,7.663386979658538649e-03,8.660254037844384786e-03
5.666568626602874921e-03,6.368673331236262419e-03,7.439590042468738861e-03,9.165151389911677451e-03
6.467418341193029510e-03,6.467418341193029510e-03,6.970473441596346763e-03,8.426149773176355370e-03
7.120393247567159516e-03,6.499999999999998834e-03,6.200604809210148727e-03,7.483314773547879856e-03
7.663386979658537781e-03,6.467418341193027775e-03,6.368673331236265889e-03,7.262919523166972043e-03
7.439590042468738861e-03,6.368673331236261552e-03,6.467418341193032980e-03,7.262919523166972043e-03
6.628725367670620754e-03,6.368673331236261552e-03,6.500000000000003171e-03,7.681145747868605052e-03
6.628725367670620754e-03,6.200604809210144390e-03,6.467418341193032980e-03,7.745966692414831163e-03
6.628725367670620754e-03,5.957348403442592165e-03,6.368673331236265021e-03,7.681145747868605052e-03
6.628725367670620754e-03,5.629165124598850545e-03,6.200604809210148727e-03,7.483314773547878988e-03
6.628725367670620754e-03,5.629165124598850545e-03,5.957348403442594767e-03,7.664854858377942969e-03
6.628725367670621621e-03,5.629165124598850545e-03,5.629165124598853147e-03,7.810249675906649237e-03
7.000714249274855860e-03,5.629165124598850545e-03,5.200000000000003231e-03,7.348469228349530091e-03
7.663386979658537781e-03,5.629165124598850545e-03,4.641928478552854488e-03,7.399324293474368597e-03
7.663386979658537781e-03,5.199999999999999761e-03,3.900000000000001122e-03,6.689544080129823309e-03
7.663386979658538649e-03,4.641928478552851019e-03,2.833284313301438762e-03,5.722761571129795187e-03
7.663386979658538649e-03,3.899999999999998954e-03,6.938893903907228378e-18,4.330127018922190658e-03
7.663386979658539516e-03,2.833284313301437461e-03,6.938893903907228378e-18,3.999999999999997481e-03
7.000714249274855860e-03,6.938893903907228378e-18,6.938893903907228378e-18,3.999999999999997481e-03
7.000714249274855860e-03,6.938893903907228378e-18,6.938893903907228378e-18,3.999999999999997481e-03
7.000714249274855860e-03,6.938893903907228378e-18,2.833284313301437027e-03,4.769696007084727254e-03
7.000714249274854993e-03,6.938893903907228378e-18,3.899999999999999387e-03,5.385164807134503774e-03
6.467418341193029510e-03,6.938893903907228378e-18,4.641928478552851019e-03,5.477225575051662167e-03
6.467418341193029510e-03,6.938893903907228378e-18,5.199999999999998894e-03,5.385164807134505509e-03
6.200604809210146992e-03,6.938893903907228378e-18,5.629165124598850545e-03,5.099019513592788731e-03
5.629165124598851412e-03,6.938893903907228378e-18,5.957348403442591298e-03,4.582575694955843930e-03
5.957348403442591298e-03,6.938893903907228378e-18,6.970473441596344161e-03,5.361902647381807004e-03
6.200604809210146992e-03,6.938893903907228378e-18,7.800000000000000509e-03,6.000000000000002727e-03
6.200604809210146992e-03,6.938893903907228378e-18,8.499852939904314550e-03,6.538348415311012393e-03
6.200604809210147859e-03,6.938893903907228378e-18,9.099999999999998715e-03,7.000000000000001013e-03
6.200604809210147859e-03,6.938893903907228378e-18,9.619121581516683339e-03,7.399324293474373801e-03
6.368673331236263287e-03,6.938893903907228378e-18,1.006975670013928424e-02,7.745966692414835500e-03
6.368673331236263287e-03,6.938893903907228378e-18,1.046076001063020282e-02,8.046738469715541964e-03
6.368673331236263287e-03,6.938893903907228378e-18,1.079861102179349892e-02,8.306623862918076362e-03
6.467418341193028643e-03,2.833284313301437894e-03,1.108816937100078753e-02,8.306623862918076362e-03
6.499999999999998834e-03,2.833284313301437894e-03,1.133313725320574984e-02,8.529361054615991478e-03
6.467418341193028643e-03,2.833284313301437894e-03,1.153635557704425080e-02,8.717797887081348701e-03
7.690903718029500243e-03,2.833284313301437894e-03,1.170000000000000033e-02,9.539392014169457978e-03
8.696407304168774985e-03,4.110960958218892562e-03,1.182571350912916576e-02,1.019803902718557052e-02
8.696407304168773250e-03,4.992744736114594975e-03,1.191469680688518433e-02,1.072380529476360880e-02
8.696407304168773250e-03,5.666568626602874921e-03,1.125833024919770456e-02,1.061838029079765003e-02
8.696407304168774985e-03,6.200604809210145257e-03,1.039999999999999952e-02,1.029563014098699991e-02
8.696407304168774985e-03,6.200604809210145257e-03,9.283856957105707242e-03,9.433981132056602770e-03
8.623224454924038190e-03,6.628725367670619886e-03,7.799999999999999642e-03,8.645808232895289477e-03
8.499852939904314550e-03,6.970473441596344161e-03,5.666568626602876656e-03,7.483314773547880723e-03
8.324061508662702891e-03,7.238093671679027633e-03,1.387778780781445676e-17,5.722761571129795187e-03
8.817028978062848785e-03,7.439590042468736258e-03,1.387778780781445676e-17,5.830951894845297703e-03
9.100000000000000450e-03,7.580237463298889790e-03,1.387778780781445676e-17,5.894913061275795091e-03
9.100000000000000450e-03,7.663386979658536047e-03,1.387778780781445676e-17,5.916079783099614971e-03
9.619121581516683339e-03,7.690903718029501110e-03,1.387778780781445676e-17,5.894913061275794224e-03
9.619121581516683339e-03,7.663386979658537781e-03,1.387778780781445676e-17,5.830951894845297703e-03
9.619121581516683339e-03,7.580237463298889790e-03,1.387778780781445676e-17,5.722761571129795187e-03
9.441795380117069120e-03,7.439590042468738861e-03,2.833284313301437461e-03,6.224949798994364181e-03
8.817028978062848785e-03,7.238093671679027633e-03,3.899999999999999387e-03,6.538348415311009791e-03
8.092434738692675517e-03,5.199999999999999761e-03,4.641928478552851019e-03,5.477225575051662167e-03
7.238093671679029367e-03,4.641928478552851019e-03,5.199999999999998894e-03,5.385164807134505509e-03
